API Type: gRPC, Route Type: custom, Endpoint: http://localhost:8082, Response Time: 566ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 143ms
API Type: GraphQL, Route Type: log, Endpoint: http://localhost:8082, Response Time: 514ms
API Type: GraphQL, Route Type: log, Endpoint: http://localhost:8082, Response Time: 565ms
API Type: GraphQL, Route Type: log, Endpoint: http://localhost:8082, Response Time: 512ms
API Type: gRPC, Route Type: random, Endpoint: http://localhost:8083, Response Time: 32ms
API Type: gRPC, Route Type: random, Endpoint: http://localhost:8081, Response Time: 112ms
API Type: gRPC, Route Type: random, Endpoint: http://localhost:8083, Response Time: 77ms
API Type: gRPC, Route Type: random, Endpoint: http://localhost:8081, Response Time: 127ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8083, Response Time: 16ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 204ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 306ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 215ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 122ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8083, Response Time: 61ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8083, Response Time: 122ms
API Type: REST, Route Type: random, Endpoint: http://localhost:8081, Response Time: 271ms
API Type: GraphQL, Route Type: custom, Endpoint: http://localhost:8081, Response Time: 163ms
